# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.4766250610e-10
6.1608685572e-01 4.9307997053e-05 0.0000000000e+00 6.8836252979e+02 6.2171624548e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 5.6606421713e+02
6.3907628122e-01 9.8615994107e-05 0.0000000000e+00 7.3832360519e+02 6.4495769496e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 6.8182793035e+02
5.9914938587e-01 1.4792399116e-04 0.0000000000e+00 7.3832175941e+02 6.0460992908e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 7.2163589622e+02
1.3693887720e-01 1.9723198821e-04 0.0000000000e+00 7.3832545097e+02 1.3780901980e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 7.2549357919e+02
9.9713868844e-02 2.4653998527e-04 0.0000000000e+00 4.8031419168e+01 1.0023911708e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.4448776222e+01
1.2688838217e-01 2.9584798232e-04 0.0000000000e+00 2.5788002136e+01 1.2782028962e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.0551408952e+01
1.6210517306e-01 3.4515597937e-04 0.0000000000e+00 1.9214648497e+01 1.6373474547e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.0053970884e+01
2.0585720789e-01 3.9446397643e-04 0.0000000000e+00 1.6282372507e+01 2.0861563177e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 9.9432240047e+00
2.6290870646e-01 4.4377197348e-04 0.0000000000e+00 1.4671099141e+01 2.6756731559e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.0004134788e+01
3.3320833011e-01 4.9307997053e-04 0.0000000000e+00 1.3792824473e+01 3.4086465689e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.0173946670e+01
4.1795912642e-01 5.4238796759e-04 0.0000000000e+00 1.3318559613e+01 4.3018277946e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.0406515118e+01
5.1683226513e-01 5.9169596464e-04 0.0000000000e+00 1.3080309621e+01 5.3569640539e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.0675999191e+01
6.2763424449e-01 6.4100396169e-04 0.0000000000e+00 1.2991517445e+01 6.5562731716e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.0953789281e+01
7.4649834249e-01 6.9031195875e-04 0.0000000000e+00 1.2977832707e+01 7.8629431533e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.1224196245e+01
8.7274902226e-01 7.3961995580e-04 0.0000000000e+00 1.3020177526e+01 9.2741223750e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.1469685161e+01
1.0053738221e+00 7.8892795285e-04 0.0000000000e+00 1.3075594226e+01 1.0783292981e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.1702253609e+01
1.1336795742e+00 8.3823594991e-04 0.0000000000e+00 1.3133707498e+01 1.2270445978e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.1897906429e+01
