# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.4766250610e-10
6.1608685572e-01 4.9307997053e-05 0.0000000000e+00 6.8836252979e+02 6.2171624548e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 5.6606421713e+02
6.3907628122e-01 9.8615994107e-05 0.0000000000e+00 7.3832360519e+02 6.4495769496e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 6.8182793035e+02
5.9914938587e-01 1.4792399116e-04 0.0000000000e+00 7.3832175941e+02 6.0460992908e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 7.2163589622e+02
1.3693887720e-01 1.9723198821e-04 0.0000000000e+00 7.3832545097e+02 1.3780901980e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 7.2549357919e+02
9.9713868844e-02 2.4653998527e-04 0.0000000000e+00 4.8031419168e+01 1.0023911708e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.4448776222e+01
1.2688838217e-01 2.9584798232e-04 0.0000000000e+00 2.5788002136e+01 1.2782028962e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.0551408952e+01
1.6210517306e-01 3.4515597937e-04 0.0000000000e+00 1.9214648497e+01 1.6373474547e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.0053970884e+01
2.0585720789e-01 3.9446397643e-04 0.0000000000e+00 1.6282372507e+01 2.0861563177e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 9.9432240047e+00
2.6290870646e-01 4.4377197348e-04 0.0000000000e+00 1.4671099141e+01 2.6756731559e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.0004134788e+01
3.3320833011e-01 4.9307997053e-04 0.0000000000e+00 1.3792824473e+01 3.4086465689e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.0173946670e+01
4.1795912642e-01 5.4238796759e-04 0.0000000000e+00 1.3318559613e+01 4.3018277946e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.0406515118e+01
5.1683226513e-01 5.9169596464e-04 0.0000000000e+00 1.3080309621e+01 5.3569640539e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.0675999191e+01
6.2763424449e-01 6.4100396169e-04 0.0000000000e+00 1.2991517445e+01 6.5562731716e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.0953789281e+01
7.4649834249e-01 6.9031195875e-04 0.0000000000e+00 1.2977832707e+01 7.8629431533e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.1224196245e+01
8.7274902226e-01 7.3961995580e-04 0.0000000000e+00 1.3020177526e+01 9.2741223750e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.1469685161e+01
1.0053738221e+00 7.8892795285e-04 0.0000000000e+00 1.3075594226e+01 1.0783292981e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.1702253609e+01
1.1336795742e+00 8.3823594991e-04 0.0000000000e+00 1.3133707498e+01 1.2270445978e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.1897906429e+01
1.2583356918e+00 8.8754394696e-04 0.0000000000e+00 1.3185533576e+01 1.3742038922e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2061258077e+01
1.3818323994e+00 9.3685194401e-04 0.0000000000e+00 1.3227503471e+01 1.5227463435e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2195077223e+01
1.4917205416e+00 9.8615994107e-04 0.0000000000e+00 1.3251426528e+01 1.6573467127e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2295672305e+01
1.6018704225e+00 1.0354679381e-03 0.0000000000e+00 1.3269372425e+01 1.7947191679e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2383346918e+01
1.6966273412e+00 1.0847759352e-03 0.0000000000e+00 1.3270143904e+01 1.9149791644e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2437797467e+01
1.7888558222e+00 1.1340839322e-03 0.0000000000e+00 1.3258852914e+01 2.0340197683e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2474713094e+01
1.8666863632e+00 1.1833919293e-03 0.0000000000e+00 1.3241930848e+01 2.1361024443e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2493170907e+01
1.9425123542e+00 1.2326999263e-03 0.0000000000e+00 1.3209067288e+01 2.2371049205e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2501015478e+01
2.0064496828e+00 1.2820079234e-03 0.0000000000e+00 1.3172151662e+01 2.3235307583e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2493170907e+01
2.0654709659e+00 1.3313159204e-03 0.0000000000e+00 1.3128393666e+01 2.4044322131e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2470098640e+01
2.1173190566e+00 1.3806239175e-03 0.0000000000e+00 1.3076459436e+01 2.4764377995e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.2448872155e+01
